--------- beginning of main
I/AwesomePlayer(  301): Could not offload audio decode, try pcm offload
I/OMXCodec(  301): [OMX.google.vorbis.decoder] allocating 4 buffers of size 32768 on output port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c7420 on output port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c73d0 on output port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xab1c7330 on output port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] allocated buffer 0xb0d4f290 on output port
V/OMXCodec(  301): [OMX.google.vorbis.decoder] PORT_ENABLED(1)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7420
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c73d0
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7330
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xb0d4f290
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768272)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7290 (length 224), timestamp 82721 us (0.08 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768672, size: 0, flags: 0x00000000, timestamp: 0 us (0.00 secs))
I/AudioPlayer(  301): Audio channels(2)
I/AudioPlayer(  301): Audioplayer kKeyAudioPCMFormat:0, 1, 0
I/AudioPlayer(  301): Audioplayer kKeyAudioPCMFormat read fail(2, 1)
V/AudioCache(  301): open(44100, 2, 0x0, 1, 0)
V/AwesomePlayer(  301): notifyListner_l() msg (6-MEDIA_STARTED), ext1 (0), ext2 (0)
V/AudioCache(  301): notify(0xab1c7470, 6, 0, 0)
V/AudioCache(  301): ignored
V/AwesomePlayer(  301): addBatteryData
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768352)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c72e0 (length 235), timestamp 105941 us (0.11 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768592, size: 2304, flags: 0x00000000, timestamp: 13061 us (0.01 secs))
V/MediaPlayerService(  301): wait for playback complete
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768112)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c71f0 (length 241), timestamp 129160 us (0.13 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768432, size: 4096, flags: 0x00000000, timestamp: 36281 us (0.04 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768192)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7240 (length 269), timestamp 152380 us (0.15 secs)
I/AudioPlayer(  301): First fillBuffer call!!
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2966745744, size: 4096, flags: 0x00000000, timestamp: 59501 us (0.06 secs))
V/KeyguardUpdateMonitor( 1206): *** register callback for com.android.keyguard.sec.SecKeyguardCircleView$1@20940aa3
V/KeyguardUpdateMonitor( 1206): *** unregister callback for null
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7420
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c73d0
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7330
D/KeyguardUpdateMonitor( 1206): sendKeyguardVisibilityChanged(true)
D/KeyguardViewMediator( 1206): adjustStatusBarLocked: mShowing=true mOccluded=false isSecure=false --> flags=0x3200000
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xb0d4f290
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768272)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7290 (length 283), timestamp 175600 us (0.18 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768672, size: 4096, flags: 0x00000000, timestamp: 82721 us (0.08 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768352)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c72e0 (length 295), timestamp 198820 us (0.20 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768592, size: 4096, flags: 0x00000000, timestamp: 105941 us (0.11 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768112)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c71f0 (length 293), timestamp 222040 us (0.22 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768432, size: 4096, flags: 0x00000000, timestamp: 129160 us (0.13 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768192)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7240 (length 293), timestamp 245260 us (0.25 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2966745744, size: 4096, flags: 0x00000000, timestamp: 152380 us (0.15 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7420
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c73d0
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7330
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xb0d4f290
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768272)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7290 (length 339), timestamp 268480 us (0.27 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768672, size: 4096, flags: 0x00000000, timestamp: 175600 us (0.18 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768352)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c72e0 (length 64), timestamp 281541 us (0.28 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768592, size: 4096, flags: 0x00000000, timestamp: 198820 us (0.20 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768112)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c71f0 (length 65), timestamp 284444 us (0.28 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768432, size: 4096, flags: 0x00000000, timestamp: 222040 us (0.22 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768192)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7240 (length 67), timestamp 287346 us (0.29 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2966745744, size: 4096, flags: 0x00000000, timestamp: 245260 us (0.25 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7420
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c73d0
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7330
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xb0d4f290
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768272)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7290 (length 66), timestamp 290249 us (0.29 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768672, size: 4096, flags: 0x00000000, timestamp: 268480 us (0.27 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768352)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c72e0 (length 65), timestamp 293151 us (0.29 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768592, size: 2304, flags: 0x00000000, timestamp: 281541 us (0.28 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768112)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c71f0 (length 77), timestamp 296054 us (0.30 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768432, size: 512, flags: 0x00000000, timestamp: 284444 us (0.28 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768192)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7240 (length 67), timestamp 298956 us (0.30 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2966745744, size: 512, flags: 0x00000000, timestamp: 287346 us (0.29 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7420
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c73d0
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xab1c7330
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling fillBuffer on buffer 0xb0d4f290
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768272)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c7290 (length 68), timestamp 301859 us (0.30 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768672, size: 512, flags: 0x00000000, timestamp: 290249 us (0.29 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768352)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] Calling emptyBuffer on buffer 0xab1c72e0 (length 213), timestamp 314920 us (0.31 secs)
V/OMXCodec(  301): [OMX.google.vorbis.decoder] FILL_BUFFER_DONE(buffer: 2870768592, size: 512, flags: 0x00000000, timestamp: 293151 us (0.29 secs))
V/OMXCodec(  301): [OMX.google.vorbis.decoder] EMPTY_BUFFER_DONE(buffer: 2870768112)
